epi,ttl,dir,wri,air,code,vie,season,month
15,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,1997-02-13,465263,27.3,3,02
16,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,1997-02-20,465264,28.3,3,02
17,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,1997-03-06,465267,25.8,3,03
18,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,1997-03-13,465269,28.1,3,03
19,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,1997-03-27,465268,23.7,3,03
20,The One with the Dollhouse,Terry Hughes,Wil Calhoun,1997-04-10,465270,24.4,3,04
21,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,1997-04-17,465271,23.2,3,04
22,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,1997-04-24,465272,22.6,3,04
23,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,1997-05-01,465274,24.2,3,05
24,The One with the Ultimate Fighting Champion,Robby Benson,Pang-Ni Landrum & Mark Kunerth & Shana Goldberg-Meehan & Scott Silveri,1997-05-08,465273,23.1,3,05
25,The One at the Beach,Pamela Fryman,Pang-Ni Landrum & Mark Kunerth & Adam Chase,1997-05-15,465275,28.8,3,05
1,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,1997-09-25,466601,29.4,4,09
2,The One with the Cat,Shelley Jensen,Jill Condon & Amy Toomin,1997-10-02,466602,25.5,4,10
3,The One with the Cuffs,Peter Bonerz,Seth Kurland,1997-10-09,466603,24.0,4,10
4,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,1997-10-16,466604,24.3,4,10
5,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,1997-10-30,466605,24.4,4,10
6,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,1997-11-06,466606,25.7,4,11
7,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,1997-11-13,466607,26.4,4,11
8,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,1997-11-20,466608,26.8,4,11
9,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,1997-12-11,466609,23.9,4,12
10,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,1997-12-18,466612,23.2,4,12
11,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,1998-01-08,466610,23.7,4,01
12,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,1998-01-15,466611,27.1,4,01
13,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-01-29,466613,25.3,4,01
14,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,1998-02-05,466614,25.1,4,02
15,The One with All the Rugby,James Burrows,Ted Cohen & Andrew Reich & Wil Calhoun,1998-02-26,466617,24.4,4,02
16,The One with the Fake Party,Michael Lembeck,Alicia Sky Varinaitis & Scott Silveri & Shana Goldberg-Meehan,1998-03-19,466615,23.1,4,03
17,The One with the Free Porn,Michael Lembeck,Mark Kunerth & Richard Goodman,1998-03-26,466616,23.2,4,03
18,The One with Rachel's New Dress,Gail Mancuso,Andrew Reich & Ted Cohen & Jill Condon & Amy Toomin,1998-04-02,466620,21.7,4,04
19,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,1998-04-09,466618,21.8,4,04
20,The One with All the Wedding Dresses,Gail Mancuso,Adam Chase & Gregory S. Malins & Michael Curtis,1998-04-16,466621,21.9,4,04
21,The One with the Invitation,Peter Bonerz,Seth Kurland,1998-04-23,466619,21.5,4,04
22,The One with the Worst Best Man Ever,Peter Bonerz,Seth Kurland & Gregory S. Malins & Michael Curtis,1998-04-30,466622,23.2,4,04
2324,The One with Ross' Wedding,Kevin S. Bright,Michael BorkowJill Condon & Amy Toomin & Shana Goldberg-Meehan & Scott Silveri,1998-05-07,466623466624,31.6,4,05
1,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,1998-09-24,467651,31.1,5,09
2,The One with All the Kissing,Gary Halvorson,Wil Calhoun,1998-10-01,467652,25.4,5,10
3,The One HundredthThe One with the Triplets,Kevin S. Bright,David Crane & Marta Kauffman,1998-10-08,467653,26.8,5,10
4,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,1998-10-15,467654,24.1,5,10
5,The One with the Kips,Dana DeValley Piazza,Scott Silveri,1998-10-29,467655,25.9,5,10
