season,episode,title,rating,gunther,janice,richard,heckles,frank,estelle,ursula,summary,central,monica_loc,joey_loc,ross_loc,monica,joey,chandler,ross,rachel,phoebe
4,8, The One with Chandler in a Box ,9.1,1,0,0,0,0,0,0,"During Thanksgiving dinner, Joey punishes Chandler for kissing Kathy by sentencing him to ""time out"" inside a crate. Joey finally relents and gives Chandler and Kathy his approval. Ross is shocked to learn that Rachel exchanges every gift she is given, but she shows Ross that she keeps things that matter. Monica becomes infatuated by Richard Burke's son, also an eye doctor, when she has an appointment with him.",0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.17843866171003714,0.17472118959107807,0.16356877323420074,0.12639405204460966,0.10780669144981413,0.08921933085501857
5,9, The One with Ross's Sandwich ,9.1,1,0,0,0,0,0,0,"Phoebe takes a literature course and regrets bringing Rachel, who does not take the class seriously. Joey tires of covering up Monica and Chandler's secret relationship. Ross is forced to take time off from work to deal with his anger issues after his marriage ends. Monica and Chandler silently beg Joey to maintain their secret after the other friends notice strange goings-on and think Joey is a pervert. Joey agrees but only by claiming that all the odd behavior is because he and Monica slept together in London, humiliating Monica.",0.2,0.4,0.0,0.26666666666666666,0.12605042016806722,0.15546218487394958,0.1176470588235294,0.15966386554621848,0.15966386554621848,0.15546218487394958
5,11, The One with All the Resolutions ,9.1,1,0,0,0,0,0,0,The gang make New Year resolutions: Rachel promises to stop gossiping; Monica tries to be less fastidious ; Phoebe wants to pilot a commercial aircraft; Joey wants to learn the guitar; Chandler must stop making jokes; and Ross wants to try something new each day. Phoebe's attempt to teach Joey the guitar ends badly. Ross encounters a problems when he wears a new pair of leather pants on a first date. Rachel receives a shock when she picks up the phone and overhears a conversation between Monica and Chandler.,0.3076923076923077,0.4615384615384616,0.0,0.15384615384615385,0.07083333333333333,0.3083333333333333,0.075,0.20833333333333331,0.15416666666666667,0.13333333333333333
8,2, The One with the Red Sweater ,9.1,1,0,0,0,0,0,0,"Rachel refuses to reveal who the baby's father is until after she tells him. Joey tells Monica and Phoebe about an unknown guy who slept with Rachel a few weeks earlier and who left a red sweater behind. Phoebe thinks it is Tag Jones' sweater and arranges a meeting between him and Rachel. Ross and Chandler attempt to recreate the wedding reception pictures, after Chandler loses the disposable cameras. Monica opens all the wedding presents without waiting for Chandler. Monica, Joey, and Phoebe learn that Tag is not the father of Rachel's baby. As they are still pondering the mystery, Ross arrives and retrieves his ""lost"" red sweater, unaware of its significance.",0.25,0.25,0.0,0.0,0.15129151291512916,0.12915129151291513,0.15867158671586715,0.14391143911439114,0.12915129151291513,0.1918819188191882
6,17, The One with Unagi ,9.1,1,1,0,0,0,0,0,"Rachel and Phoebe take self-defense classes. Ross, who previously practiced karate, stages a surprise mock attack to convince them they lack unagi, supposedly a state of ""total awareness"", though unagi is Japanese for eel. Chandler and Monica celebrate Valentine's Day several days late, but when they forget to make each other homemade gifts, Monica gives Chandler one of Phoebe's ""sock bunnies"". Chandler finds a mixtape in the closet and gives it to Monica, unaware it was a present from Janice, complete with her recorded voice. When Joey applies for an identical twin research project that pays $2,000, he recruits someone to play his ""twin.""",0.1875,0.375,0.0,0.0625,0.13478260869565215,0.13043478260869565,0.24347826086956526,0.1826086956521739,0.09565217391304348,0.1
3,16, The One with the Morning After ,9.1,1,0,0,0,0,0,0,"Rachel calls Ross the next morning saying she wants to get back together. Ross rushes Chloe out of his apartment before Rachel arrives, then frantically runs around trying to cover up the trail leading to his and Chloe's tryst. Rachel discovers the truth, and she and Ross have a huge fight as the other four friends listen in from Monica's bedroom. Ross is desperate for forgiveness, but Rachel refuses and ends the relationship, leaving both devastated.",0.09090909090909093,0.2727272727272727,0.09090909090909093,0.0,0.12452830188679245,0.07547169811320754,0.09056603773584904,0.2981132075471698,0.17735849056603772,0.12075471698113208
6,24, The One with the Proposal ,9.08867102396514,0,0,0,0,0,0,0,"Chandler is about to propose to Monica at a fancy restaurant when Richard suddenly appears with a date and joins them. Wanting his proposal to be a surprise at just the right time, Chandler then pretends he has no interest in marriage. Meanwhile, Ross breaks up with Elizabeth, feeling she is too immature for him. He almost reconsiders until she starts throwing water balloons at him. Joey accidentally buys a sailboat at a silent auction, thinking he won it in a contest. He decides to keep the boat. Richard tells Chandler he wants to marry Monica and have children with her. Chandler has made Monica believe he is uninterested in marriage so she reconsiders their relationship. It appears Monica has left him but she surprises him with her own proposal. She starts but becomes emotional so Chandler finishes. The season ends with Chandler and Monica dancing to ""Wonderful Tonight"" by Eric Clapton and the screen fades to black.Note: This is Tom Selleck's last appearance as Richard.",0.1724137931034483,0.0,0.03448275862068965,0.03448275862068965,0.16727272727272727,0.16,0.15272727272727274,0.08545454545454545,0.15818181818181815,0.11272727272727273
7,23, The One with Monica and Chandler's Wedding: Part 1 ,9.058604583272515,0,0,0,0,0,0,0,Joey gets a part in a movie and learns the art of enunciation  that the pregnancy test was Rachel's.,0.07407407407407407,0.25925925925925924,0.07407407407407407,0.0,0.12352941176470587,0.14313725490196078,0.1215686274509804,0.1607843137254902,0.15098039215686276,0.11176470588235296
5,2, The One with All the Kissing ,9.0,1,0,0,0,0,0,0,"Phoebe feels left out when the other friends talk non-stop about their London trip. Rachel returns from Greece, telling Ross she had a great time but is actually livid that he abandoned her on the plane. Ross attempts to reconcile with Emily who refuses to speak to him. Rachel wants Monica to make all her romance decisions, but ultimately ignores her. Once back home, Monica and Chandler are caught kissing, so Chandler kisses all the girls to cover up their budding relationship.",0.25,0.3333333333333333,0.08333333333333333,0.0,0.20081967213114754,0.11885245901639345,0.11885245901639345,0.16393442622950818,0.25,0.09836065573770493
1,7, The One with the Blackout ,9.0,0,0,0,1,0,0,0,"During a New York City-wide power outage, the gang hangs out at Monica and Rachel's apartment. Ross tries sharing his true feelings with Rachel but a stray cat interrupts their conversation. Rachel and Phoebe search the building for the cat's owner, but when Mr. Heckles from downstairs falsely claims it is his, he spooks it. The cat belongs to their neighbor, Paolo, a hunky, English-challenged Italian who Rachel falls for. Meanwhile, a nervous Chandler is trapped in an ATM vestibule with 'Victoria's Secret' model Jill Goodacre. ",0.047619047619047616,0.5238095238095238,0.0,0.0,0.09956709956709957,0.11688311688311688,0.10822510822510822,0.22943722943722944,0.18614718614718612,0.10822510822510822
